Niche,Business Name,Phone,Secondary Phone,Address,City,State,Zip Code,Hours,Review Count,Rating,GMB Link,Website,Facebook,Instagram,Data Source,Date Added,Lead Score,Pitch Notes,Additional Notes,Status,Caller Notes
Auto Detailing,CarShine Auto Detailing Downtown Vancouver,(778) 403-4870,,560 Cambie St.,Vancouver,BC,,,,5.0,https://www.google.com/maps/place/CarShine+Auto+Detailing+Downtown+Vancouver/data=!4m7!3m6!1s0x5486713f6ef04d6f:0x62ae9c7d9fa509fe!8m2!3d49.28095!4d-123.1114804!16s%2Fg%2F11ywbvd_zj!19sChIJb03wbj9xhlQR_gmln32crmI?authuser=0&hl=en&rclk=1,https://carshineauto.ca/Downtown-Vancouver,,,Google Maps,2026-03-03,19,"Hi CarShine Auto Detailing Downtown Vancouver, I help auto detailing businesses in Vancouver get more consistent bookings by showing up where car owners are already searching. With 0 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
Auto Detailing,M & J Car Wash,(604) 732-0009,,1521 W 4th Ave,Vancouver,BC,,"Monday, 8:30 a.m. to 5 p.m., Copy open hours",584,3.7,https://www.google.com/maps/place/M+%26+J+Car+Wash/data=!4m7!3m6!1s0x548673c9f786ed93:0x77ed18d3096c5eb3!8m2!3d49.2681243!4d-123.1393032!16s%2Fg%2F11b5wlwxvw!19sChIJk-2G98lzhlQRs15sCdMY7Xc?authuser=0&hl=en&rclk=1,https://www.mjcarwash.com/,,,Google Maps,2026-03-03,14,"Hi M & J Car Wash, I help auto detailing businesses in Vancouver get more consistent bookings by showing up where car owners are already searching. With 584 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
Auto Detailing,Shine Auto Wash Vancouver,(604) 806-0800,,796 Terminal Ave,Vancouver,BC,,"Monday, Open 24 hours, Copy open hours",1833,3.8,https://www.google.com/maps/place/Shine+Auto+Wash+Vancouver/data=!4m7!3m6!1s0x54867142bfd90899:0xe17118f16c8dd207!8m2!3d49.270266!4d-123.0866198!16s%2Fg%2F1td7m_q1!19sChIJmQjZv0JxhlQRB9KNbPEYceE?authuser=0&hl=en&rclk=1,https://www.shineautowash.ca/,,,Google Maps,2026-03-03,14,"Hi Shine Auto Wash Vancouver, I help auto detailing businesses in Vancouver get more consistent bookings by showing up where car owners are already searching. With 1833 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
detailing,Shine and Gloss Auto Detailing,(780) 710-2612,,8808 165 St NW,Edmonton,AB,,"Monday, Open 24 hours, Copy open hours",8,5.0,https://www.google.com/maps/place/Shine+and+Gloss+Auto+Detailing/data=!4m7!3m6!1s0x53a021b207fb750f:0x1b246b6243d2b7af!8m2!3d53.5244097!4d-113.6089765!16s%2Fg%2F11y6293svs!19sChIJD3X7B7IhoFMRr7fSQ2JrJBs?authuser=0&hl=en&rclk=1,,,,Google Maps,2026-03-03,13,"Hi Shine and Gloss Auto Detailing, I help auto detailing businesses in edmonton get more consistent bookings by showing up where car owners are already searching. With 8 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
detailing,Lux Detail Co. - Mobile Car Cleaning,(587) 566-2027,,9946 159 St NW,Edmonton,AB,,"Monday, 8 a.m. to 8 p.m., Copy open hours",2,5.0,https://www.google.com/maps/place/Lux+Detail+Co.+-+Mobile+Car+Cleaning/data=!4m7!3m6!1s0x53a021bb289e5cd5:0x87d1fe0656cd803!8m2!3d53.538871!4d-113.5959985!16s%2Fg%2F11zjlrzr99!19sChIJ1VyeKLshoFMRA9hsZeAffQg?authuser=0&hl=en&rclk=1,,,,Google Maps,2026-03-03,13,"Hi Lux Detail Co. - Mobile Car Cleaning, I help auto detailing businesses in edmonton get more consistent bookings by showing up where car owners are already searching. With 2 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
Auto Detailing,Ace Car Spa | Car Detailing,(604) 265-8051,,1128 W Georgia St P1,Vancouver,BC,,"Monday, 9 a.m. to 5 p.m., Copy open hours",46,5.0,https://www.google.com/maps/place/Ace+Car+Spa+%7C+Car+Detailing/data=!4m7!3m6!1s0x5486712038efb341:0x7cc52e14d31c236c!8m2!3d49.2857324!4d-123.1235242!16s%2Fg%2F11s1w8d2tb!19sChIJQbPvOCBxhlQRbCMc0xQuxXw?authuser=0&hl=en&rclk=1,https://acecarspa.com/vancouver/hyatt-alberni?utm_source=google&utm_medium=organic&utm_campaign=gbp-hv-website-link,,,Google Maps,2026-03-03,12,"Hi Ace Car Spa | Car Detailing, I help auto detailing businesses in Vancouver get more consistent bookings by showing up where car owners are already searching. With 46 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
Auto Detailing,BC1 Auto Detailing,(604) 559-8863,,8812 Laurel St #110 Vancouver,BC V6P 3V8,British Columbia,,"Monday, 9:30 a.m. to 5 p.m., Copy open hours",43,4.7,https://www.google.com/maps/place/BC1+Auto+Detailing/data=!4m7!3m6!1s0x548674ee299d6c8d:0x821b7c866589c6b5!8m2!3d49.2056708!4d-123.1247063!16s%2Fg%2F11g6qh76t9!19sChIJjWydKe50hlQRtcaJZYZ8G4I?authuser=0&hl=en&rclk=1,http://www.bc1autodetailing.com/,,,Google Maps,2026-03-03,12,"Hi BC1 Auto Detailing, I help auto detailing businesses in Vancouver get more consistent bookings by showing up where car owners are already searching. With 43 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
Auto Detailing,Surge Auto Detailing,(604) 322-1414,,266 E 58th Ave,Vancouver,BC,,"Monday, Open 24 hours, Copy open hours",80,5.0,https://www.google.com/maps/place/Surge+Auto+Detailing/data=!4m7!3m6!1s0x5486751b73ec1b91:0x7c17533a01a74bf0!8m2!3d49.2173863!4d-123.1003377!16s%2Fg%2F11w9hwxt4n!19sChIJkRvscxt1hlQR8EunATpTF3w?authuser=0&hl=en&rclk=1,https://linktr.ee/surgeautodetailing,,,Google Maps,2026-03-03,10,"Hi Surge Auto Detailing, I help auto detailing businesses in Vancouver get more consistent bookings by showing up where car owners are already searching. With 80 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
Auto Detailing,Livingstar Auto Detailing,(778) 847-0991,,1248 Seymour St,Vancouver,BC,,"Monday, 9:30 a.m. to 5:30 p.m., Copy open hours",116,4.6,https://www.google.com/maps/place/Livingstar+Auto+Detailing/data=!4m7!3m6!1s0x548673d1551a496f:0x90c31aaf7b092809!8m2!3d49.2756191!4d-123.1263546!16s%2Fg%2F1pp2wzt43!19sChIJb0kaVdFzhlQRCSgJe68aw5A?authuser=0&hl=en&rclk=1,http://www.livingstarautodetail.ca/,,,Google Maps,2026-03-03,10,"Hi Livingstar Auto Detailing, I help auto detailing businesses in Vancouver get more consistent bookings by showing up where car owners are already searching. With 116 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
Auto Detailing,Sapphire Shine Mobile Detailing,(604) 404-2663,,1255 Bidwell St #2704,Vancouver,BC,,"Monday, 9 a.m. to 6 p.m., Copy open hours",134,5.0,https://www.google.com/maps/place/Sapphire+Shine+Mobile+Detailing/data=!4m7!3m6!1s0x6ed1857cff13f253:0x6b0ab1a944806991!8m2!3d49.2861297!4d-123.1414996!16s%2Fg%2F11tfmv8lw0!19sChIJU_IT_3yF0W4RkWmARKmxCms?authuser=0&hl=en&rclk=1,http://sapphireshine.ca/,,,Google Maps,2026-03-03,10,"Hi Sapphire Shine Mobile Detailing, I help auto detailing businesses in Vancouver get more consistent bookings by showing up where car owners are already searching. With 134 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
detailing,West End Detail Centre,(780) 483-4534,,17840 100a Ave NW,Edmonton,AB,,,23,4.7,https://www.google.com/maps/place/West+End+Detail+Centre/data=!4m7!3m6!1s0x53a020e518c6205d:0x88e76b856f6513f8!8m2!3d53.5396434!4d-113.6290136!16s%2Fg%2F1tkshgr2!19sChIJXSDGGOUgoFMR-BNlb4Vr54g?authuser=0&hl=en&rclk=1,,,,Google Maps,2026-03-03,10,"Hi West End Detail Centre, I help auto detailing businesses in edmonton get more consistent bookings by showing up where car owners are already searching. With 23 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
Auto Detailing,BClean Mobile Car Detailing,(778) 251-9985,,2107 W 16th Ave,Vancouver,BC,,Closed · Opens 8 a.m. Tue · See more hours,119,4.8,https://www.google.com/maps/place/BClean+Mobile+Car+Detailing/data=!4m7!3m6!1s0x548673e78a5b30b3:0x2796301ec11e44a7!8m2!3d49.257426!4d-123.1536947!16s%2Fg%2F11vk8ntmyk!19sChIJszBbiudzhlQRp0QewR4wlic?authuser=0&hl=en&rclk=1,https://www.bcleandetail.ca/,,,Google Maps,2026-03-03,10,"Hi BClean Mobile Car Detailing, I help auto detailing businesses in Vancouver get more consistent bookings by showing up where car owners are already searching. With 119 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
Auto Detailing,Shiny Mobile Car Detailing & Mobile Car Wash - Auto Spa,(604) 755-1680,,415 W Cordova St #210,Vancouver,BC,,"Monday, 9 a.m. to 6 p.m., Copy open hours",290,4.6,https://www.google.com/maps/place/Shiny+Mobile+Car+Detailing+%26+Mobile+Car+Wash+-+Auto+Spa/data=!4m7!3m6!1s0x54867102c9d1ff19:0xc52342d65169310f!8m2!3d49.2844088!4d-123.1102146!16s%2Fg%2F11j23nf1lx!19sChIJGf_RyQJxhlQRDzFpUdZCI8U?authuser=0&hl=en&rclk=1,https://www.shiny.ca/?utm_source=google&utm_medium=local,,,Google Maps,2026-03-03,10,"Hi Shiny Mobile Car Detailing & Mobile Car Wash - Auto Spa, I help auto detailing businesses in Vancouver get more consistent bookings by showing up where car owners are already searching. With 290 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
Auto Detailing,Swift Auto Lab - Mobile Car Detailing,(604) 900-6833,,1435 Cedar Cottage Mews,Vancouver,BC,,"Monday, Closed, Copy open hours",58,4.9,https://www.google.com/maps/place/Swift+Auto+Lab+-+Mobile+Car+Detailing/data=!4m7!3m6!1s0x548675304993643b:0xa25bc094cd66899!8m2!3d49.2494012!4d-123.0751294!16s%2Fg%2F11v_805f91!19sChIJO2STSTB1hlQRmWjWTAm8JQo?authuser=0&hl=en&rclk=1,https://linktr.ee/swiftautolab,,,Google Maps,2026-03-03,10,"Hi Swift Auto Lab - Mobile Car Detailing, I help auto detailing businesses in Vancouver get more consistent bookings by showing up where car owners are already searching. With 58 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
Auto Detailing,Royal Mobile Auto Detailing LTD,(604) 445-4575,,1028 Barclay St,Vancouver,BC,,"Monday, 7 a.m. to 7 p.m., Copy open hours",89,4.9,https://www.google.com/maps/place/Royal+Mobile+Auto+Detailing+LTD/data=!4m7!3m6!1s0x548673d548dca6bd:0x5149837e0f765f09!8m2!3d49.282037!4d-123.1259127!16s%2Fg%2F11c72n33_m!19sChIJvabcSNVzhlQRCV92D36DSVE?authuser=0&hl=en&rclk=1,http://www.bcrmad.com/,,,Google Maps,2026-03-03,10,"Hi Royal Mobile Auto Detailing LTD, I help auto detailing businesses in Vancouver get more consistent bookings by showing up where car owners are already searching. With 89 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
Auto Detailing,Pitstop Car Detailing,(236) 243-8514,,,Vancouver,British Columbia,,"Monday, Open 24 hours, Copy open hours",48,4.6,https://www.google.com/maps/place/Pitstop+Car+Detailing/data=!4m7!3m6!1s0x2fbf299a1d8f8e29:0xa9d64e883653f818!8m2!3d49.1689089!4d-122.9518484!16s%2Fg%2F11m6cklb_2!19sChIJKY6PHZopvy8RGPhTNohO1qk?authuser=0&hl=en&rclk=1,http://pitstopsdetailing.com/,,,Google Maps,2026-03-03,10,"Hi Pitstop Car Detailing, I help auto detailing businesses in Vancouver get more consistent bookings by showing up where car owners are already searching. With 48 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
Auto Detailing,Deluxe Shine Detailing,(778) 951-5126,,8123 Main St,Vancouver,BC,,"Monday, 9 a.m. to 8 p.m., Copy open hours",113,5.0,https://www.google.com/maps/place/Deluxe+Shine+Detailing/data=!4m7!3m6!1s0x8daafd8af9b8b417:0xa4b6c495514fe18c!8m2!3d49.2122036!4d-123.1025081!16s%2Fg%2F11jym5k7zs!19sChIJF7S4-Yr9qo0RjOFPUZXEtqQ?authuser=0&hl=en&rclk=1,https://deluxeshine.ca/,,,Google Maps,2026-03-03,10,"Hi Deluxe Shine Detailing, I help auto detailing businesses in Vancouver get more consistent bookings by showing up where car owners are already searching. With 113 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
Auto Detailing,Tiago's Auto Spa,(604) 568-3110,,55 E 5th Ave,Vancouver,BC,,"Monday, 9 a.m. to 6 p.m., Copy open hours",305,4.8,https://www.google.com/maps/place/Tiago%27s+Auto+Spa/data=!4m7!3m6!1s0x5486716001533c83:0xcd7ecd3d75f94a3c!8m2!3d49.2665722!4d-123.1036302!16s%2Fg%2F1tjmdbw6!19sChIJgzxTAWBxhlQRPEr5dT3Nfs0?authuser=0&hl=en&rclk=1,https://tiagosautospa.com/?utm_source=gmb-listing&utm_medium=organic&utm_campaign=gmb_profile,,,Google Maps,2026-03-03,10,"Hi Tiago's Auto Spa, I help auto detailing businesses in Vancouver get more consistent bookings by showing up where car owners are already searching. With 305 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
Auto Detailing,Kingsway Auto Detailing,(604) 872-1434,,290 E 5th Ave,Vancouver,BC,,"Monday, 9:30 a.m. to 6 p.m., Copy open hours",301,4.9,https://www.google.com/maps/place/Kingsway+Auto+Detailing/data=!4m7!3m6!1s0x5486715fcb1cb39d:0xe9777d083dfd1ad3!8m2!3d49.266294!4d-123.099071!16s%2Fg%2F1td5ftdk!19sChIJnbMcy19xhlQR0xr9PQh9d-k?authuser=0&hl=en&rclk=1,http://www.kingswayautodetailing.com/,,,Google Maps,2026-03-03,10,"Hi Kingsway Auto Detailing, I help auto detailing businesses in Vancouver get more consistent bookings by showing up where car owners are already searching. With 301 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
Auto Detailing,Expert Car Detailing,(604) 332-2056,,1037 W 11th Ave,Vancouver,BC,,"Monday, 7 a.m. to 10 p.m., Copy open hours",56,4.7,https://www.google.com/maps/place/Expert+Car+Detailing/data=!4m7!3m6!1s0x54867373fc1f5f65:0x38ed2b17ce3715d9!8m2!3d49.2618126!4d-123.1275704!16s%2Fg%2F11shtklhwk!19sChIJZV8f_HNzhlQR2RU3zhcr7Tg?authuser=0&hl=en&rclk=1,https://www.cardetailingvancouverbc.com/,,,Google Maps,2026-03-03,10,"Hi Expert Car Detailing, I help auto detailing businesses in Vancouver get more consistent bookings by showing up where car owners are already searching. With 56 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
Auto Detailing,Pearls Auto Spa Ltd,(604) 683-2886,,336 W 7th Ave,Vancouver,BC,,"Monday, 9 a.m. to 6 p.m., Copy open hours",202,4.7,https://www.google.com/maps/place/Pearls+Auto+Spa+Ltd/data=!4m7!3m6!1s0x548673c84876d82b:0xca2cba04e45ec70!8m2!3d49.2645394!4d-123.1120026!16s%2Fg%2F1vq74k02!19sChIJK9h2SMhzhlQRcOxFTqDLogw?authuser=0&hl=en&rclk=1,https://pearlsautospa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,,Google Maps,2026-03-03,10,"Hi Pearls Auto Spa Ltd, I help auto detailing businesses in Vancouver get more consistent bookings by showing up where car owners are already searching. With 202 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
Auto Detailing,Unique Detailing,(604) 780-7008,,930 SW Marine Dr unit 50,Vancouver,BC,,"Monday, 9 a.m. to 5 p.m., Copy open hours",284,4.9,https://www.google.com/maps/place/Unique+Detailing/data=!4m7!3m6!1s0x54860ab2e768ecad:0xbdd70a9a32664887!8m2!3d49.2054426!4d-123.1277968!16s%2Fg%2F1txfnvcd!19sChIJrexo57IKhlQRh0hmMpoK170?authuser=0&hl=en&rclk=1,http://www.uniquedetailing.ca/?utm_campaign=gmb,,,Google Maps,2026-03-03,10,"Hi Unique Detailing, I help auto detailing businesses in Vancouver get more consistent bookings by showing up where car owners are already searching. With 284 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,new,
